Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Account__c,Autopilot__c,Battery__c,Billing_Status__c,Cancelled__c,Delivery_Date__c,Hydraulic_System__c,Interior__c,Loan_Application__c,Manufacturing_Status__c,Model__c,Owner__c,Paint__c,Payment_Type__c,Prediction_Sample__c,Price__c,Rear_Seats__c,SAP_ID__c,Self_Driving__c,Spoiler__c,Status__c,Sunroof__c,Web_ID__c,Wheels__c,Year__c
a041D0000058WXgQAM,0051D000006P1N1QAK,,V-000010,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrLQAW,1,100 kWh,Not Invoiced,,,1,Black Premium,,,Flash,0031D00000ZCFciQAH,130,Cash,,70400,1,,1,,Ownership,,,"19"" Onyx Black Spinners",2020
a041D0000058WXhQAM,0051D000006P1N1QAK,,V-000011,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrMQAW,,100 kWh,Not Invoiced,,,1,Black Textile,,,Flint,0031D00000ZCFcjQAH,130,Loan,,44675,1,,,1,Purchase,1,,"19"" Sonic Carbon Wheels",2020
a041D0000058WXiQAM,0051D000006P1N1QAK,,V-000012,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrNQAW,,75 kWh,Not Invoiced,,,1,White Premium,,Assembly,Flare,0031D00000ZCFckQAH,1000,Loan,,48175,1,,,1,Manufacturing,,,"19"" Sonic Carbon Wheels",2020
a041D0000058WXjQAM,0051D000006P1N1QAK,,V-000013,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrOQAW,1,100 kWh,Not Invoiced,,,1,Black Textile,,Backlog,Flash,0031D00000ZCFclQAH,4150,Cash,,71175,1,,1,1,Manufacturing,,,"19"" Silver Wheels",2020
a041D0000058WXkQAM,0051D000006P1N1QAK,,V-000014,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrPQAW,,75 kWh,Not Invoiced,,,1,Black Premium,,Stamping,Flare,0031D00000ZCFcmQAH,1000,Loan,,48375,,,,1,Manufacturing,1,,"19"" Sonic Carbon Wheels",2020
a041D0000058WXlQAM,0051D000006P1N1QAK,,V-000015,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrQQAW,,75 kWh,Not Invoiced,,,,Black Premium,,,Flare,0031D00000ZCFcnQAH,230,Cash,,49500,,,1,,Delivery,1,,"19"" Sonic Carbon Wheels",2020
a041D0000058WXmQAM,0051D000006P1N1QAK,,V-000016,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrRQAW,1,100 kWh,Not Invoiced,,,,Black Premium,,Painting,Flare,0031D00000ZCFcoQAH,4150,Cash,,60800,1,,1,,Manufacturing,1,,"19"" Silver Wheels",2020
a041D0000058WXnQAM,0051D000006P1N1QAK,,V-000017,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrSQAW,1,75 kWh,Not Invoiced,,,,Black Premium,,,Flash,0031D00000ZCFcpQAH,1000,,,,1,,1,,Evaluation,1,,"19"" Sonic Carbon Wheels",2020
a041D0000058WXoQAM,0051D000006P1N1QAK,,V-000018,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrTQAW,1,75 kWh,Not Invoiced,,,1,Black Premium,,,Flare,0031D00000ZCFcqQAH,1000,Cash,,53175,1,,,1,Delivery,,,"19"" Silver Wheels",2020
a041D0000058WXpQAM,0051D000006P1N1QAK,,V-000019,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrUQAW,,100 kWh,Not Invoiced,,,1,Black Textile,,,Flint,0031D00000ZCFcrQAH,55,Loan,,43900,1,,,,Purchase,1,,"19"" Onyx Black Spinners",2020
a041D0000058WXqQAM,0051D000006P1N1QAK,,V-000020,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDr9QAG,1,100 kWh,Not Invoiced,,,,Black Premium,,,Flash,0031D00000ZCFcWQAX,230,Loan,,68575,1,,,1,Purchase,1,,"19"" Onyx Black Spinners",2020
a041D0000058WXrQAM,0051D000006P1N1QAK,,V-000021,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDrAQAW,,100 kWh,Not Invoiced,,,1,Cream Premium,,Delivered,Flare,0031D00000ZCFcXQAX,1000,Cash,,54875,,,1,1,Manufacturing,,,"19"" Sonic Carbon Wheels",2020
a041D0000058WXsQAM,0051D000006P1N1QAK,,V-000022,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDq6QAG,,100 kWh,Not Invoiced,,,,Black Premium,,Stamping,Flare,0031D00000ZCFgFQAX,230,Cash,,52075,1,,,1,Manufacturing,,,"19"" Sonic Carbon Wheels",2020
a041D0000058WXtQAM,0051D000006P1N1QAK,,V-000023,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDq7QAG,,100P kWh,Not Invoiced,,,,Black Premium,,,Flare,0031D00000ZCFgGQAX,230,Loan,,56500,,,1,,Delivery,1,,"19"" Silver Wheels",2020
a041D0000058WXuQAM,0051D000006P1N1QAK,,V-000024,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDq8QAG,,100P kWh,Not Invoiced,,,,Black Premium,,,Flare,0031D00000ZCFgHQAX,130,Loan,,56500,,,1,,Purchase,1,,"19"" Sonic Carbon Wheels",2020
a041D0000058WXvQAM,0051D000006P1N1QAK,,V-000025,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDq9QAG,,100P kWh,Not Invoiced,,,1,Black Textile,,Shipping,Flint,0031D00000ZCFgIQAX,130,Cash,,46675,1,,,1,Manufacturing,1,,"19"" Sonic Carbon Wheels",2020
a041D0000058WXwQAM,0051D000006P1N1QAK,,V-000026,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqAQAW,1,100 kWh,Not Invoiced,,,1,Cream Premium,,Stamping,Flare,0031D00000ZCFgJQAX,230,Loan,,62675,1,,1,1,Manufacturing,1,,"19"" Onyx Black Spinners",2020
a041D0000058WXxQAM,0051D000006P1N1QAK,,V-000027,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqBQAW,1,100P kWh,Not Invoiced,,,1,Black Textile,,,Flare,0031D00000ZCFgKQAX,230,Cash,,61675,1,,,1,Purchase,1,,"19"" Sonic Carbon Wheels",2020
a041D0000058WXyQAM,0051D000006P1N1QAK,,V-000028,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqCQAW,,100P kWh,Not Invoiced,,,1,Black Premium,,,Flint,0031D00000ZCFgLQAX,1000,Cash,,49675,1,,1,1,Delivery,1,,"19"" Silver Wheels",2020
a041D0000058WXzQAM,0051D000006P1N1QAK,,V-000029,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqDQAW,1,100P kWh,Not Invoiced,,,,White Premium,,,Flash,0031D00000ZCFg3QAH,230,Cash,,73575,1,,1,1,Purchase,1,,"19"" Onyx Black Spinners",2020
a041D0000058WY0QAM,0051D000006P1N1QAK,,V-000030,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqEQAW,,100 kWh,Not Invoiced,,,,Cream Premium,,,Flare,0031D00000ZCFgMQAX,1000,Cash,,56575,1,,1,1,Purchase,1,,"19"" Sonic Carbon Wheels",2020
a041D0000058WY1QAM,0051D000006P1N1QAK,,V-000031,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqFQAW,,100P kWh,Not Invoiced,,,,Light Premium,,,Flash,0031D00000ZCFgNQAX,1000,Loan,,65775,,,1,1,Purchase,,,"19"" Onyx Black Spinners",2020
a041D0000058WY2QAM,0051D000006P1N1QAK,,V-000032,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqGQAW,1,100 kWh,Not Invoiced,,,1,Light Premium,,,Flash,0031D00000ZCFgOQAX,55,Loan,,68175,1,,,1,Purchase,,,"19"" Onyx Black Spinners",2020
a041D0000058WY3QAM,0051D000006P1N1QAK,,V-000033,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqHQAW,1,100P kWh,Not Invoiced,,,1,Cream Premium,,Assembly,Flare,0031D00000ZCFgPQAX,4150,Cash,,61875,,,1,1,Manufacturing,,,"19"" Silver Wheels",2020
a041D0000058WY4QAM,0051D000006P1N1QAK,,V-000034,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqIQAW,,100P kWh,Not Invoiced,,,,Black Premium,,,Flare,0031D00000ZCFgQQAX,0,Loan,,54275,,,,1,Purchase,1,,"19"" Sonic Carbon Wheels",2020
a041D0000058WY5QAM,0051D000006P1N1QAK,,V-000035,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqJQAW,,75 kWh,Not Invoiced,1,,,Cream Premium,,,Flash,0031D00000ZCFgRQAX,1000,Cash,,58000,,,1,,Purchase,,,"19"" Sonic Carbon Wheels",2020
a041D0000058WY6QAM,0051D000006P1N1QAK,,V-000036,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqKQAW,1,100 kWh,Not Invoiced,,,1,Black Textile,,,Flare,0031D00000ZCFgSQAX,130,Cash,,59875,,,1,1,Purchase,,,"19"" Sonic Carbon Wheels",2020
a041D0000058WY7QAM,0051D000006P1N1QAK,,V-000037,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqLQAW,,100 kWh,Not Invoiced,,,1,Black Premium,,Assembly,Flare,0031D00000ZCFgTQAX,1000,Loan,,54675,1,,,1,Manufacturing,1,,"19"" Sonic Carbon Wheels",2020
a041D0000058WY8QAM,0051D000006P1N1QAK,,V-000038,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqMQAW,1,100 kWh,Not Invoiced,,,,Cream Premium,,,Flint,0031D00000ZCFgUQAX,230,,,,,,,1,Evaluation,,,"19"" Silver Wheels",2020
a041D0000058WY9QAM,0051D000006P1N1QAK,,V-000039,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqNQAW,1,75 kWh,Not Invoiced,,,,Cream Premium,,Welding,Flint,0031D00000ZCFgVQAX,230,Cash,,45075,1,,1,1,Manufacturing,,,"19"" Sonic Carbon Wheels",2020
a041D0000058WYAQA2,0051D000006P1N1QAK,,V-000040,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqOQAW,1,100 kWh,Not Invoiced,,,,White Premium,,,Flare,0031D00000ZCFgWQAX,130,Cash,,57800,1,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2020
a041D0000058WYBQA2,0051D000006P1N1QAK,,V-000041,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqPQAW,,75 kWh,Not Invoiced,,,1,Cream Premium,,,Flare,0031D00000ZCFgXQAX,130,Cash,,50600,,,1,,Purchase,1,,"19"" Silver Wheels",2020
a041D0000058WYCQA2,0051D000006P1N1QAK,,V-000042,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqQQAW,,100 kWh,Not Invoiced,,,,Black Textile,,,Flare,0031D00000ZCFgYQAX,230,Loan,,50775,,,,1,Ownership,,,"19"" Sonic Carbon Wheels",2020
a041D0000058WYDQA2,0051D000006P1N1QAK,,V-000043,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqRQAW,,75 kWh,Not Invoiced,,,,Black Textile,,,Flare,0031D00000ZCFgZQAX,4150,Cash,,51575,1,,1,1,Delivery,1,,"19"" Sonic Carbon Wheels",2020
a041D0000058WYEQA2,0051D000006P1N1QAK,,V-000044,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqSQAW,,75 kWh,Not Invoiced,,,,Black Premium,,Assembly,Flash,0031D00000ZCFgaQAH,4150,Loan,,60275,,,1,1,Manufacturing,1,,"19"" Sonic Carbon Wheels",2020
a041D0000058WYFQA2,0051D000006P1N1QAK,,V-000045,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqTQAW,1,100P kWh,Not Invoiced,,,,Light Premium,,Shipping,Flare,0031D00000ZCFgbQAH,230,Cash,,62275,,,1,1,Manufacturing,1,,"19"" Sonic Carbon Wheels",2020
a041D0000058WYGQA2,0051D000006P1N1QAK,,V-000046,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqUQAW,1,100 kWh,Not Invoiced,,,,Light Premium,,,Flash,0031D00000ZCFgcQAH,55,Loan,,68575,1,,,1,Delivery,1,,"19"" Silver Wheels",2020
a041D0000058WYHQA2,0051D000006P1N1QAK,,V-000047,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqVQAW,,75 kWh,Not Invoiced,,,,Light Premium,,,Flare,0031D00000ZCFgdQAH,4150,Loan,,49500,,,1,,Purchase,1,,"19"" Sonic Carbon Wheels",2020
a041D0000058WYIQA2,0051D000006P1N1QAK,,V-000048,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqWQAW,1,100P kWh,Not Invoiced,,,1,White Premium,,Painting,Flint,0031D00000ZCFgeQAH,1000,Cash,,49600,,,,,Manufacturing,1,,"19"" Onyx Black Spinners",2020
a041D0000058WYJQA2,0051D000006P1N1QAK,,V-000049,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqXQAW,1,75 kWh,Not Invoiced,1,,,White Premium,,,Flash,0031D00000ZCFgfQAH,1000,Loan,,62275,,,,1,Purchase,1,,"19"" Sonic Carbon Wheels",2020
a041D0000058WYKQA2,0051D000006P1N1QAK,,V-000050,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqYQAW,1,100P kWh,Not Invoiced,,,1,White Premium,,Assembly,Flare,0031D00000ZCFggQAH,0,Cash,,62400,1,,1,,Manufacturing,,,"19"" Silver Wheels",2020
a041D0000058WYLQA2,0051D000006P1N1QAK,,V-000051,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqZQAW,,100 kWh,Not Invoiced,,,,Black Premium,,,Flint,0031D00000ZCFghQAH,230,Cash,,43775,,,1,1,Ownership,,,"19"" Onyx Black Spinners",2020
a041D0000058WYMQA2,0051D000006P1N1QAK,,V-000052,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqaQAG,,100P kWh,Not Invoiced,,,1,Black Premium,,,Flare,0031D00000ZCFgiQAH,0,Cash,,56675,1,,,1,Delivery,1,,"19"" Sonic Carbon Wheels",2020
a041D0000058WYNQA2,0051D000006P1N1QAK,,V-000053,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqbQAG,1,100P kWh,Not Invoiced,1,,,Cream Premium,,,Flare,0031D00000ZCFgjQAH,1000,Cash,,62075,1,,1,1,Purchase,,,"19"" Onyx Black Spinners",2020
a041D0000058WYOQA2,0051D000006P1N1QAK,,V-000054,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqcQAG,,100 kWh,Not Invoiced,,,1,Light Premium,,,Flare,0031D00000ZCFgkQAH,130,Loan,,57675,1,,1,1,Ownership,1,,"19"" Onyx Black Spinners",2020
a041D0000058WYPQA2,0051D000006P1N1QAK,,V-000055,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqdQAG,1,100 kWh,Not Invoiced,,,1,Black Premium,,,Flare,0031D00000ZCFglQAH,4150,,,,1,,1,,Evaluation,,,"19"" Onyx Black Spinners",2020
a041D0000058WYQQA2,0051D000006P1N1QAK,,V-000056,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqeQAG,1,100P kWh,Not Invoiced,,,1,Cream Premium,,,Flare,0031D00000ZCFgmQAH,230,Loan,,61100,,,1,,Ownership,,,"19"" Sonic Carbon Wheels",2020
a041D0000058WYRQA2,0051D000006P1N1QAK,,V-000057,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqfQAG,,75 kWh,Not Invoiced,,,1,Black Premium,,,Flare,0031D00000ZCFgnQAH,1000,,,,1,,,1,Evaluation,,,"19"" Silver Wheels",2020
a041D0000058WYSQA2,0051D000006P1N1QAK,,V-000058,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDqgQAG,,100 kWh,Not Invoiced,,,1,Black Textile,,,Flash,0031D00000ZCFgoQAH,230,Loan,,66375,,,1,1,Ownership,1,,"19"" Silver Wheels",2020
a041D0000058WYTQA2,0051D000006P1N1QAK,,V-000059,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDptQAG,1,75 kWh,Not Invoiced,,,1,Light Premium,,Shipping,Flare,0031D00000ZCFYrQAP,55,Loan,,52400,1,,,,Manufacturing,,,"19"" Sonic Carbon Wheels",2020
a041D0000058WYUQA2,0051D000006P1N1QAK,,V-000060,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,0051D000006P1N1QAK,2021-03-17T16:48:31.000+0000,,,,0011D00000pVDpuQAG,,100 kWh,Not Invoiced,,,1,Black Premium,,,Flare,0031D00000ZCFYsQAP,55,Cash,,52400,1,,,,Purchase,,,"19"" Sonic Carbon Wheels",2020
